team,2016_starter_ip,2016_reliever_ip,total_ip,starter_perc,2016_starter_war,2016_reliever_war,,,,,,
astros,917,551,1468,0.625,12.1,7.9,,,,,,
mets,922,525,1447,0.637,18.3,6.6,,,,,,
dodgers,862.1,590.2,1452.3,0.594,16.4,6.5,,,,,,
yankees,916,512.1,1428.1,0.641,11.7,6.5,,,,,,
orioles,886,546,1432,0.619,9.5,5.5,,,,,,
nationals,960,499.2,1459.2,0.658,18.1,5.2,,,,,,
indians,936.1,508.2,1444.3,0.648,13.8,5,,,,,,
royals,900.1,539.2,1439.3,0.625,5.6,4.9,,,,,,
red sox,969.1,470.1,1439.2,0.673,13.8,4.9,,,,,,
brewers,883.1,551,1434.1,0.616,8.5,4.8,,,,,,
athletics,872,561.1,1433.1,0.608,7.2,4.6,,,,,,
tigers,918.2,509.1,1427.3,0.643,12.5,4.3,,,,,,
cardinals,934.1,514,1448.1,0.645,13.3,4.2,,,,,,
braves,880.1,567.1,1447.2,0.608,4.7,4.1,,,,,,
mariners,934.2,522.1,1456.3,0.641,9,3.9,,,,,,
blue jays,995.1,464,1459.1,0.682,15.3,3.9,,,,,,
marlins,875.1,559.2,1434.3,0.610,10.4,3.8,,,,,,
white sox,977,469.2,1446.2,0.676,12.9,3.7,,,,,,
cubs,989,470.2,1459.2,0.678,17.3,3.2,,,,,,
padres,884,556,1440,0.614,6.4,2.9,,,,,,
rockies,905,524.1,1429.1,0.633,12.1,2.2,,,,,,
giants,982.1,478,1460.1,0.673,15,2.1,,,,,,
twins,875.1,567.2,1442.3,0.607,6,2.1,,,,,,
rangers,921.1,521.2,1442.3,0.639,7.9,1.7,,,,,,
pirates,865.2,585,1450.2,0.597,7.1,1.2,,,,,,
diamondbacks,884.1,567,1451.1,0.609,7.9,0.5,,,,,,
phillies,909,528,1437,0.633,12.6,0.4,,,,,,
angels,877.1,544,1421.1,0.617,5.6,0.3,,,,,,
rays,920,506.1,1426.1,0.645,11.9,0.1,,,,,,
reds,859,583,1442,0.596,3.1,-3.6,,,,,,
